avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
6.355,8.166666666666666,262.5,5.25,1093,294.275
4.875,7.5,268.5,5.37,1053,292.875
8.0975,10.833333333333334,261.5,5.23,1080,301.9875
2.115,3.5333333333333337,424.0,8.48,1083,434.575
2.305,4.699999999999999,416.5,8.33,1285,428.025
2.825,5.133333333333333,418.0,8.36,1112,432.125
1.3675,3.1,418.5,8.37,1095,425.3375
0.42,2.1333333333333333,421.0,8.42,1293,423.1
8.7525,10.999999999999996,264.5,5.29,1102,308.2625
149.9275,36.6,256.0,5.12,1236,1005.6375
133.6225,36.0,261.5,5.23,1285,929.6125
6.3725,9.0,261.0,5.22,1082,292.8625
2.0375,6.5,420.5,8.41,1115,430.6875
2.65,6.166666666666666,427.0,8.54,1101,440.25
2.6375,5.166666666666666,419.5,8.39,1074,432.6875
0.655,3.6166666666666667,420.0,8.4,1111,423.275
7.0625,18.266666666666662,230.0,4.6,1089,265.3125
5.550238095238095,8.9,412.0,8.24,1257,439.75119047619046
288.38,39.56666666666666,226.0,4.52,1176,1667.9
6.7025,8.666666666666668,266.0,5.32,1119,299.5125
7.75,14.249999999999998,260.5,5.21,1093,299.25
1.4825,4.800000000000001,418.5,8.37,1100,425.9125
3.5175,6.5,420.5,8.41,1101,438.0875
2.085,4.233333333333333,424.0,8.48,1106,434.425
7.7975,12.833333333333332,254.5,5.09,1065,293.4875
2.2975,6.066666666666666,420.0,8.4,1087,431.4875
64.47285714285714,27.619047619047617,295.0,5.9,1289,617.3642857142856
1.455,3.7000000000000006,418.5,8.37,1070,425.775
1.1975,4.066666666666666,419.5,8.39,1068,425.4875
2.51,5.166666666666666,419.5,8.39,1268,432.05
3.395,6.933333333333333,414.0,8.28,1084,430.975
0.78,3.3333333333333335,419.5,8.39,1280,423.4
5.985,7.333333333333333,418.0,8.36,1120,447.925
1.4675,3.033333333333333,422.5,8.45,1082,429.8375
12.456488095238093,18.833333333333332,368.5,7.37,1284,430.78244047619046
1.0225,3.033333333333333,420.0,8.4,1261,425.1125
4.375,7.033333333333333,415.0,8.3,1106,436.875
0.895,3.6333333333333337,423.0,8.46,1310,427.475
329.4925,38.166666666666664,231.5,4.63,1209,1878.9625
1.185,4.733333333333333,423.0,8.46,1283,428.925
3.1775,6.466666666666667,414.0,8.28,1279,429.8875
59.736785714285716,28.833333333333332,293.0,5.86,1297,591.6839285714286
4.8975,11.6,262.0,5.24,1079,286.4875
143.98,38.83333333333333,228.0,4.56,1099,947.9
3.5975,5.7,420.5,8.41,1086,438.4875
1.755,3.8666666666666663,425.0,8.5,1088,433.775
1.445,4.166666666666666,422.0,8.44,1098,429.225
2.04,5.0,420.5,8.41,1120,430.7
3.5675,5.433333333333333,424.5,8.49,1077,442.3375
6.1,11.25,260.0,5.2,1115,290.5
0.94,3.7666666666666666,420.0,8.4,1275,424.7
5.8325,7.333333333333333,265.0,5.3,1086,294.1625
2.9575,5.0,418.0,8.36,1094,432.7875
8.263571428571428,15.842857142857145,275.0,5.5,1076,316.3178571428571
168.7375,38.733333333333334,257.5,5.15,1276,1101.1875
2.18,4.2,420.0,8.4,1087,430.9
7.12,9.833333333333332,270.0,5.4,1122,305.6
0.5625,2.6666666666666665,420.5,8.41,1082,423.3125
2.64,6.0,419.5,8.39,1109,432.7
166.345,34.0,271.5,5.43,1317,1103.225
2.415,4.166666666666666,423.5,8.47,1051,435.575
4.4025,9.0,418.0,8.36,1276,440.0125
52.4842857142857,31.976190476190474,285.0,5.7,1249,547.4214285714285
7.8325,10.333333333333332,266.0,5.32,1147,305.1625
9.1075,18.51666666666667,249.0,4.98,1069,294.5375
1.5175,4.033333333333333,418.0,8.36,1091,425.5875
0.8025,3.4333333333333336,420.0,8.4,1093,424.0125
1.4425,3.5000000000000004,417.5,8.35,1084,424.7125
9.625357142857144,17.485714285714284,279.0,5.58,1087,327.1267857142857
2.9775,6.033333333333332,418.0,8.36,1075,432.8875
8.85107142857143,14.180952380952384,285.0,5.7,1112,329.2553571428572
2.51,5.5,419.5,8.39,1105,432.05
3.575,5.833333333333333,417.0,8.34,1080,434.875
4.615,8.333333333333334,417.5,8.35,1083,440.575
1.9325,3.8000000000000007,417.0,8.34,1090,426.6625
108.0375,37.166666666666664,235.5,4.71,1096,775.6875
2.5175,5.166666666666666,420.0,8.4,1113,432.5875
2.755,5.5666666666666655,423.0,8.46,1294,436.775
1.8925,3.7000000000000006,417.0,8.34,1287,426.4625
0.18,1.0333333333333332,422.0,8.44,1103,422.9
1.8625,4.333333333333333,417.0,8.34,1103,426.3125
1.03,3.8666666666666667,423.0,8.46,1085,428.15
16.38,17.26190476190476,280.5,5.61,1061,362.4
1.94,5.433333333333334,417.0,8.34,1089,426.7
3.4225,5.5,417.5,8.35,1110,434.6125
23.340357142857137,19.785714285714285,277.0,5.54,1059,393.7017857142857
1.2,4.0,419.5,8.39,1092,425.5
1.215,4.433333333333333,423.0,8.46,1070,429.075
3.5575,5.5,421.0,8.42,1077,438.7875
0.875,3.5000000000000004,419.5,8.39,1106,423.875
6.775,18.03333333333333,230.0,4.6,1068,263.875
1.3425,3.5333333333333337,423.0,8.46,1074,429.7125
1.3425,4.366666666666666,419.0,8.38,1095,425.7125
1.9425,6.433333333333334,420.5,8.41,1336,430.2125
9.3525,19.666666666666668,249.0,4.98,1085,295.7625
