Agent,avg_wait,avg_tellers,served,renege_rate,total_cost
Baseline,8.673202614379084,2.420689655172414,153,72.67857142857143,891.1862101162304
RL Agent,4.352017937219731,9.854166666666666,446,20.357142857142858,718.0398515908605
